voltage,current
18.064516,-8455.5225
15.967742,-9824.0469
18.064516,-8455.5225
18.763441,-6842.6196
22.634409,-5229.7163
18.064516,-8308.8955
16.451612,-9579.668
20.32258,-6891.4956
19.784946,-7429.1299
15.645162,-10117.302
19.516129,-7429.1299
23.333334,-5180.8408
17.741936,-8504.3984
